graph_idx,graph_smiles,canonical_smiles,pickle_path,source,match_type
289,COC(=O)/C=C/C(=O)OC,COC(=O)/C=C/C(=O)OC,drugs/COC(=O)_C=C_C(=O)OC.pickle,drugs,canonical
302,c1ccc2c(c1)CCN2,c1ccc2c(c1)CCN2,qm9/c1ccc2c(c1)CCN2.pickle,qm9,canonical
317,[H][C@]12C[C@@H](O)C[C@@]1([H])[C@@H](O)C2,O[C@@H]1C[C@@H]2C[C@H](O)[C@@H]2C1,qm9/O[C@H]1C[C@H]2C[C@@H](O)C[C@@H]12.pickle,qm9,canonical
320,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,drugs/CC(=O)Nc1ccc(O)cc1.pickle,drugs,canonical
330,c1ccc(-c2cc3ccccc3[nH]2)cc1,c1ccc(-c2cc3ccccc3[nH]2)cc1,drugs/c1ccc(-c2cc3ccccc3[nH]2)cc1.pickle,drugs,canonical
340,OCC(O)CO,OCC(O)CO,qm9/OCC(O)CO.pickle,qm9,canonical
341,OCC(O)C(O)C(O)C(O)CO,OCC(O)C(O)C(O)C(O)CO,drugs/OCC(O)C(O)C(O)C(O)CO.pickle,drugs,canonical
349,C#CCCCC,C#CCCCC,qm9/C#CCCCC.pickle,qm9,canonical
350,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1,qm9/O=[N+]([O-])c1ccccc1.pickle,qm9,canonical
354,Nc1ccccc1N,Nc1ccccc1N,qm9/Nc1ccccc1N.pickle,qm9,canonical
355,Nc1cccc(N)c1,Nc1cccc(N)c1,qm9/Nc1cccc(N)c1.pickle,qm9,canonical
356,Nc1ccc(N)cc1,Nc1ccc(N)cc1,qm9/Nc1ccc(N)cc1.pickle,qm9,canonical
359,OCc1ccccc1,OCc1ccccc1,qm9/OCc1ccccc1.pickle,qm9,canonical
360,O=C(O)C(O)c1ccccc1,O=C(O)C(O)c1ccccc1,drugs/O=C(O)C(O)c1ccccc1.pickle,drugs,canonical
361,O=C1CCCC1,O=C1CCCC1,qm9/O=C1CCCC1.pickle,qm9,canonical
362,O=C1CCCCC1,O=C1CCCCC1,qm9/O=C1CCCCC1.pickle,qm9,canonical
365,OCCNCCO,OCCNCCO,drugs/OCCNCCO.pickle,drugs,canonical
369,O=Cc1cccc(O)c1,O=Cc1cccc(O)c1,qm9/O=Cc1cccc(O)c1.pickle,qm9,canonical
378,N#CCc1ccccc1,N#CCc1ccccc1,qm9/N#CCc1ccccc1.pickle,qm9,canonical
379,C1CCCC1,C1CCCC1,qm9/C1CCCC1.pickle,qm9,canonical
380,C1=CCCCC1,C1=CCCCC1,qm9/C1=CCCCC1.pickle,qm9,canonical
386,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,qm9/c1ccc2[nH]ccc2c1.pickle,qm9,canonical
390,c1cc[nH]c1,c1cc[nH]c1,qm9/c1cc[nH]c1.pickle,qm9,canonical
402,O=C(/C=C/c1ccccc1)c1ccccc1,O=C(/C=C/c1ccccc1)c1ccccc1,drugs/O=C(_C=C_c1ccccc1)c1ccccc1.pickle,drugs,canonical
407,CC(C)=O,CC(C)=O,qm9/CC(C)=O.pickle,qm9,canonical
410,CCc1ccccc1,CCc1ccccc1,qm9/CCc1ccccc1.pickle,qm9,canonical
411,CCCC(=O)O,CCCC(=O)O,drugs/CCCC(=O)O.pickle,drugs,canonical
412,CCCO,CCCO,qm9/CCCO.pickle,qm9,canonical
413,CCCCCCO,CCCCCCO,qm9/CCCCCCO.pickle,qm9,canonical
421,[H]OC(=O)C(C(C)C)N([H])[H],CC(C)C(N)C(=O)O,drugs/CC(C)C(N)C(=O)O.pickle,drugs,canonical
425,O=C1CCC1,O=C1CCC1,qm9/O=C1CCC1.pickle,qm9,canonical
429,CNC=O,CNC=O,qm9/CNC=O.pickle,qm9,canonical
430,CC(C)c1ccccc1,CC(C)c1ccccc1,qm9/CC(C)c1ccccc1.pickle,qm9,canonical
432,Cc1ccc(O)cc1,Cc1ccc(O)cc1,qm9/Cc1ccc(O)cc1.pickle,qm9,canonical
434,CC(=O)c1cccnc1,CC(=O)c1cccnc1,qm9/CC(=O)c1cccnc1.pickle,qm9,canonical
435,CC(=O)c1ccncc1,CC(=O)c1ccncc1,qm9/CC(=O)c1ccncc1.pickle,qm9,canonical
437,Cc1ccccc1C,Cc1ccccc1C,qm9/Cc1ccccc1C.pickle,qm9,canonical
438,Cc1cccc(C)c1,Cc1cccc(C)c1,qm9/Cc1cccc(C)c1.pickle,qm9,canonical
439,Cc1ccc(C)cc1,Cc1ccc(C)cc1,qm9/Cc1ccc(C)cc1.pickle,qm9,canonical
440,Cc1cc(C)cc(C)c1,Cc1cc(C)cc(C)c1,qm9/Cc1cc(C)cc(C)c1.pickle,qm9,canonical
442,Cc1ccccc1,Cc1ccccc1,qm9/Cc1ccccc1.pickle,qm9,canonical
443,CCc1ccccc1N,CCc1ccccc1N,qm9/CCc1ccccc1N.pickle,qm9,canonical
444,CCNc1ccccc1,CCNc1ccccc1,qm9/CCNc1ccccc1.pickle,qm9,canonical
447,Nc1ccc(O)cc1,Nc1ccc(O)cc1,qm9/Nc1ccc(O)cc1.pickle,qm9,canonical
448,COc1ccccc1N,COc1ccccc1N,qm9/COc1ccccc1N.pickle,qm9,canonical
449,COc1ccc(N)cc1,COc1ccc(N)cc1,qm9/COc1ccc(N)cc1.pickle,qm9,canonical
451,Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1,drugs/Nc1ccc(C(=O)O)cc1.pickle,drugs,canonical
453,Nc1ccccn1,Nc1ccccn1,qm9/Nc1ccccn1.pickle,qm9,canonical
454,C1CCC(NC2CCCCC2)CC1,C1CCC(NC2CCCCC2)CC1,drugs/C1CCC(NC2CCCCC2)CC1.pickle,drugs,canonical
455,COCCOC,COCCOC,qm9/COCCOC.pickle,qm9,canonical
458,CC(C)OC(C)C,CC(C)OC(C)C,qm9/CC(C)OC(C)C.pickle,qm9,canonical
459,COc1cc(C=O)ccc1O,COc1cc(C=O)ccc1O,drugs/COc1cc(C=O)ccc1O.pickle,drugs,canonical
461,Cc1cccnc1N,Cc1cccnc1N,qm9/Cc1cccnc1N.pickle,qm9,canonical
462,O=Cc1ccco1,O=Cc1ccco1,qm9/O=Cc1ccco1.pickle,qm9,canonical
465,CC(C)CCO,CC(C)CCO,qm9/CC(C)CCO.pickle,qm9,canonical
471,COCCO,COCCO,qm9/COCCO.pickle,qm9,canonical
473,CC(C)C=O,CC(C)C=O,qm9/CC(C)C=O.pickle,qm9,canonical
475,CN(C)c1ccccc1,CN(C)c1ccccc1,qm9/CN(C)c1ccccc1.pickle,qm9,canonical
480,COC(C)=O,COC(C)=O,qm9/COC(C)=O.pickle,qm9,canonical
481,CCOC(C)=O,CCOC(C)=O,qm9/CCOC(C)=O.pickle,qm9,canonical
482,COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,qm9/COC(=O)CC(=O)OC.pickle,qm9,canonical
489,CC(=O)c1ccccc1,CC(=O)c1ccccc1,qm9/CC(=O)c1ccccc1.pickle,qm9,canonical
490,C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1,drugs/C=C(C)C1CC=C(C)CC1.pickle,drugs,canonical
495,Cc1ccncc1,Cc1ccncc1,qm9/Cc1ccncc1.pickle,qm9,canonical
499,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,drugs/Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.pickle,drugs,canonical
500,OCc1ccco1,OCc1ccco1,qm9/OCc1ccco1.pickle,qm9,canonical
501,Cc1ccco1,Cc1ccco1,qm9/Cc1ccco1.pickle,qm9,canonical
502,CCC(=O)CC,CCC(=O)CC,qm9/CCC(=O)CC.pickle,qm9,canonical
503,CC(=O)C(C)C,CC(=O)C(C)C,qm9/CC(=O)C(C)C.pickle,qm9,canonical
505,CC(=O)CC(C)C,CC(=O)CC(C)C,qm9/CC(=O)CC(C)C.pickle,qm9,canonical
506,O=c1ccc2ccccc2o1,O=c1ccc2ccccc2o1,drugs/O=c1ccc2ccccc2o1.pickle,drugs,canonical
516,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,qm9/CC(=O)CCC(C)=O.pickle,qm9,canonical
518,C=CC(C)(O)CCC=C(C)C,C=CC(C)(O)CCC=C(C)C,drugs/C=CC(C)(O)CCC=C(C)C.pickle,drugs,canonical
521,CN(C)C(=O)N(C)C,CN(C)C(=O)N(C)C,qm9/CN(C)C(=O)N(C)C.pickle,qm9,canonical
522,N#CCC(N)=O,N#CCC(N)=O,qm9/N#CCC(N)=O.pickle,qm9,canonical
524,NCCCC(=O)O,NCCCC(=O)O,qm9/NCCCC(=O)O.pickle,qm9,canonical
525,Nc1ccc(S(N)(=O)=O)cc1,Nc1ccc(S(N)(=O)=O)cc1,drugs/Nc1ccc(S(N)(=O)=O)cc1.pickle,drugs,canonical
526,CCc1ccc(O)cc1,CCc1ccc(O)cc1,qm9/CCc1ccc(O)cc1.pickle,qm9,canonical
528,C=CCc1ccc(OC)cc1,C=CCc1ccc(OC)cc1,drugs/C=CCc1ccc(OC)cc1.pickle,drugs,canonical
529,CCC(C)(C)O,CCC(C)(C)O,qm9/CCC(C)(C)O.pickle,qm9,canonical
530,CC(C)C(=O)C(C)C,CC(C)C(=O)C(C)C,qm9/CC(C)C(=O)C(C)C.pickle,qm9,canonical
532,CC(=O)CCC(=O)O,CC(=O)CCC(=O)O,drugs/CC(=O)CCC(=O)O.pickle,drugs,canonical
533,COc1ccc(C=O)cc1,COc1ccc(C=O)cc1,drugs/COc1ccc(C=O)cc1.pickle,drugs,canonical
534,CC1CCC(C(C)C)C(O)C1,CC1CCC(C(C)C)C(O)C1,drugs/CC1CCC(C(C)C)C(O)C1.pickle,drugs,canonical
535,Cc1cccc(C)c1O,Cc1cccc(C)c1O,qm9/Cc1cccc(C)c1O.pickle,qm9,canonical
537,O=c1[nH]c2ccccc2o1,O=c1[nH]c2ccccc2o1,drugs/O=c1[nH]c2ccccc2o1.pickle,drugs,canonical
538,CN1CCCC1=O,CN1CCCC1=O,qm9/CN1CCCC1=O.pickle,qm9,canonical
539,O=C1CNC(=O)CN1,O=C1CNC(=O)CN1,qm9/O=C1CNC(=O)CN1.pickle,qm9,canonical
540,Cc1ccccc1C(=O)O,Cc1ccccc1C(=O)O,drugs/Cc1ccccc1C(=O)O.pickle,drugs,canonical
542,NC(=O)NCCCC(N)C(=O)O,NC(=O)NCCCC(N)C(=O)O,drugs/NC(=O)NCCCC(N)C(=O)O.pickle,drugs,canonical
544,CCOC(=O)CC#N,CCOC(=O)CC#N,qm9/CCOC(=O)CC#N.pickle,qm9,canonical
545,CCCc1ccccc1,CCCc1ccccc1,qm9/CCCc1ccccc1.pickle,qm9,canonical
548,CCOC=O,CCOC=O,qm9/CCOC=O.pickle,qm9,canonical
551,Nc1nccs1,Nc1nccs1,drugs/Nc1nccs1.pickle,drugs,canonical
554,COc1ccc(O)cc1,COc1ccc(O)cc1,qm9/COc1ccc(O)cc1.pickle,qm9,canonical
555,CCO,CCO,qm9/CCO.pickle,qm9,canonical
556,C=CCc1ccc(O)c(OC)c1,C=CCc1ccc(O)c(OC)c1,drugs/C=CCc1ccc(O)c(OC)c1.pickle,drugs,canonical
558,O=C(O)c1cc(O)ccc1O,O=C(O)c1cc(O)ccc1O,drugs/O=C(O)c1cc(O)ccc1O.pickle,drugs,canonical
559,Nc1cccc(O)c1,Nc1cccc(O)c1,qm9/Nc1cccc(O)c1.pickle,qm9,canonical
560,CCC(C)=O,CCC(C)=O,qm9/CCC(C)=O.pickle,qm9,canonical
563,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O,drugs/CCCCCC[C@@H](O)C_C=C\CCCCCCCC(=O)O.pickle,drugs,canonical
566,C1=CCCC1,C1=CCCC1,qm9/C1=CCCC1.pickle,qm9,canonical
567,CC1=CCCCC1,CC1=CCCCC1,qm9/CC1=CCCCC1.pickle,qm9,canonical
568,CCC1=CCCC1,CCC1=CCCC1,qm9/CCC1=CCCC1.pickle,qm9,canonical
572,CCN1C(=O)C=CC1=O,CCN1C(=O)C=CC1=O,qm9/CCN1C(=O)C=CC1=O.pickle,qm9,canonical
575,Cc1cncc(C#N)c1,Cc1cncc(C#N)c1,qm9/Cc1cncc(C#N)c1.pickle,qm9,canonical
587,CC(C)(C)C(C)(C)C,CC(C)(C)C(C)(C)C,qm9/CC(C)(C)C(C)(C)C.pickle,qm9,canonical
589,C1=C\C=C/C=C\C=C/1,C1=CC=CC=CC=C1,qm9/C1=CC=CC=CC=C1.pickle,qm9,no_stereo
611,O=C1C=CCC1,O=C1C=CCC1,qm9/O=C1C=CCC1.pickle,qm9,canonical
617,ClC=C(Cl)Cl,ClC=C(Cl)Cl,drugs/ClC=C(Cl)Cl.pickle,drugs,canonical
620,O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C=C1,drugs/O=C1C=CC(=O)C=C1.pickle,drugs,canonical
626,[H]Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,drugs/Oc1ccc(Cl)cc1.pickle,drugs,canonical
641,[H]Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,drugs/Oc1ccc2ccccc2c1.pickle,drugs,canonical
645,C1COC1,C1COC1,qm9/C1COC1.pickle,qm9,canonical
646,C1CCOC1,C1CCOC1,qm9/C1CCOC1.pickle,qm9,canonical
648,C1COCO1,C1COCO1,qm9/C1COCO1.pickle,qm9,canonical
649,C1COCCO1,C1COCCO1,qm9/C1COCCO1.pickle,qm9,canonical
655,O=C1CCCCO1,O=C1CCCCO1,qm9/O=C1CCCCO1.pickle,qm9,canonical
657,[H]n1ccccc1=O,O=c1cccc[nH]1,qm9/O=c1cccc[nH]1.pickle,qm9,canonical
658,[H]N1C(=O)C=CC1=O,O=C1C=CC(=O)N1,qm9/O=C1C=CC(=O)N1.pickle,qm9,canonical
661,c1ccc2c(c1)COC2,c1ccc2c(c1)COC2,qm9/c1ccc2c(c1)COC2.pickle,qm9,canonical
663,[H]N1C(=O)N([H])C(=O)C(CC)(CC)C1=O,CCC1(CC)C(=O)NC(=O)NC1=O,drugs/CCC1(CC)C(=O)NC(=O)NC1=O.pickle,drugs,canonical
664,Cn1cccn1,Cn1cccn1,qm9/Cn1cccn1.pickle,qm9,canonical
665,c1ccc2c(c1)sc1ccccc12,c1ccc2c(c1)sc1ccccc12,drugs/c1ccc2c(c1)sc1ccccc12.pickle,drugs,canonical
666,[H]N1c2ccccc2Sc2ccccc21,c1ccc2c(c1)Nc1ccccc1S2,drugs/c1ccc2c(c1)Nc1ccccc1S2.pickle,drugs,canonical
667,[H]OC/C=C(\C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CO,drugs/CC(C)=CCC_C(C)=C_CO.pickle,drugs,canonical
669,[H]OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,drugs/CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12.pickle,drugs,canonical
671,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,drugs/O=C(_C=C_C=C_c1ccc2c(c1)OCO2)N1CCCCC1.pickle,drugs,canonical
673,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,drugs/Cn1c(=O)c2c(ncn2C)n(C)c1=O.pickle,drugs,canonical
674,[H]OCC(O[H])C1OC(=O)C(O[H])=C1O[H],O=C1OC(C(O)CO)C(O)=C1O,drugs/O=C1OC(C(O)CO)C(O)=C1O.pickle,drugs,canonical
675,[H]OCC1OC(n2cnc3c(N([H])[H])ncnc32)C(O[H])C1O[H],Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,drugs/Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O.pickle,drugs,canonical
676,CC(C)C(C)C,CC(C)C(C)C,qm9/CC(C)C(C)C.pickle,qm9,canonical
677,CC(C)CC(C)C,CC(C)CC(C)C,qm9/CC(C)CC(C)C.pickle,qm9,canonical
678,CCC(C(C)C)C(C)C,CCC(C(C)C)C(C)C,qm9/CCC(C(C)C)C(C)C.pickle,qm9,canonical
679,CC1CCCC1,CC1CCCC1,qm9/CC1CCCC1.pickle,qm9,canonical
680,CC1CCCCC1,CC1CCCCC1,qm9/CC1CCCCC1.pickle,qm9,canonical
688,Cc1cccc(C)c1C,Cc1cccc(C)c1C,qm9/Cc1cccc(C)c1C.pickle,qm9,canonical
691,C1=Cc2ccccc2C1,C1=Cc2ccccc2C1,qm9/C1=Cc2ccccc2C1.pickle,qm9,canonical
693,c1ccc(C2CC2)cc1,c1ccc(C2CC2)cc1,qm9/c1ccc(C2CC2)cc1.pickle,qm9,canonical
700,CCCCO,CCCCO,qm9/CCCCO.pickle,qm9,canonical
701,[H]OC(C)C,CC(C)O,qm9/CC(C)O.pickle,qm9,canonical
702,[H]OCC(C)C,CC(C)CO,qm9/CC(C)CO.pickle,qm9,canonical
704,[H]OCC#C,C#CCO,qm9/C#CCO.pickle,qm9,canonical
706,[H]OC(C)(C)C#C,C#CC(C)(C)O,qm9/C#CC(C)(C)O.pickle,qm9,canonical
707,[H]OCC#CC,CC#CCO,qm9/CC#CCO.pickle,qm9,canonical
708,[H]OCCC#C,C#CCCO,qm9/C#CCCO.pickle,qm9,canonical
711,[H]OCCCO[H],OCCCO,qm9/OCCCO.pickle,qm9,canonical
714,CCCOC,CCCOC,qm9/CCCOC.pickle,qm9,canonical
715,COC(C)C,COC(C)C,qm9/COC(C)C.pickle,qm9,canonical
716,CCCCOCCCC,CCCCOCCCC,qm9/CCCCOCCCC.pickle,qm9,canonical
717,COC(C)(C)C,COC(C)(C)C,qm9/COC(C)(C)C.pickle,qm9,canonical
719,COCCOCCOC,COCCOCCOC,qm9/COCCOCCOC.pickle,qm9,canonical
722,CS(C)(=O)=O,CS(C)(=O)=O,drugs/CS(C)(=O)=O.pickle,drugs,canonical
729,CC(=O)C(C)=O,CC(=O)C(C)=O,qm9/CC(=O)C(C)=O.pickle,qm9,canonical
730,[H]N([H])C(C)=O,CC(N)=O,qm9/CC(N)=O.pickle,qm9,canonical
732,CC=O,CC=O,qm9/CC=O.pickle,qm9,canonical
733,CCC=O,CCC=O,qm9/CCC=O.pickle,qm9,canonical
735,CCCC(C)=O,CCCC(C)=O,qm9/CCCC(C)=O.pickle,qm9,canonical
736,CC(=O)C(C)(C)C,CC(=O)C(C)(C)C,qm9/CC(=O)C(C)(C)C.pickle,qm9,canonical
739,CC(=O)C(F)(F)F,CC(=O)C(F)(F)F,qm9/CC(=O)C(F)(F)F.pickle,qm9,canonical
741,[H]OC(=O)C=C,C=CC(=O)O,drugs/C=CC(=O)O.pickle,drugs,canonical
749,[H]OC(=O)CC(S[H])C(=O)O[H],O=C(O)CC(S)C(=O)O,drugs/O=C(O)CC(S)C(=O)O.pickle,drugs,canonical
751,CC(C)OC=O,CC(C)OC=O,qm9/CC(C)OC=O.pickle,qm9,canonical
752,CC(=O)OC(C)C,CC(=O)OC(C)C,qm9/CC(=O)OC(C)C.pickle,qm9,canonical
753,CCCC(=O)OC,CCCC(=O)OC,qm9/CCCC(=O)OC.pickle,qm9,canonical
754,COCCOC(C)=O,COCCOC(C)=O,qm9/COCCOC(C)=O.pickle,qm9,canonical
759,COC(=O)C(=O)OC,COC(=O)C(=O)OC,qm9/COC(=O)C(=O)OC.pickle,qm9,canonical
777,[H]OC(=O)CN([H])[H],NCC(=O)O,qm9/NCC(=O)O.pickle,qm9,canonical
778,[H]OC(=O)CCN([H])[H],NCCC(=O)O,drugs/NCCC(=O)O.pickle,drugs,canonical
781,[H]OC(=O)C(CC(=O)N([H])[H])N([H])[H],NC(=O)CC(N)C(=O)O,drugs/NC(=O)CC(N)C(=O)O.pickle,drugs,canonical
784,[H]OC(=O)CN([H])C,CNCC(=O)O,qm9/CNCC(=O)O.pickle,qm9,canonical
785,[H]OC(=O)CN([H])C(=O)CN([H])[H],NCC(=O)NCC(=O)O,drugs/NCC(=O)NCC(=O)O.pickle,drugs,canonical
786,[H]OC(=O)CN(CCN(CC(=O)O[H])CC(=O)O[H])CC(=O)O[H],O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,drugs/O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.pickle,drugs,canonical
795,CC#N,CC#N,qm9/CC#N.pickle,qm9,canonical
797,N#CCC#N,N#CCC#N,qm9/N#CCC#N.pickle,qm9,canonical
798,N#CCCC#N,N#CCCC#N,qm9/N#CCCC#N.pickle,qm9,canonical
800,N#CCCCCC#N,N#CCCCCC#N,qm9/N#CCCCCC#N.pickle,qm9,canonical
813,Cc1cc(O)[nH]n1,Cc1cc(O)[nH]n1,qm9/Cc1cc(O)[nH]n1.pickle,qm9,canonical
815,CC(=O)OCC[N+](C)(C)C,CC(=O)OCC[N+](C)(C)C,drugs/CC(=O)OCC[N+](C)(C)C.pickle,drugs,canonical
818,COC(=O)C(F)(F)F,COC(=O)C(F)(F)F,qm9/COC(=O)C(F)(F)F.pickle,qm9,canonical
819,COCC(C)=O,COCC(C)=O,qm9/COCC(C)=O.pickle,qm9,canonical
820,[H]OCc1cnc(C)c(O[H])c1CO[H],Cc1ncc(CO)c(CO)c1O,drugs/Cc1ncc(CO)c(CO)c1O.pickle,drugs,canonical
826,[H]Oc1cc2c(c(O[H])c1)C(=O)/C=C/CCCC(C)OC(=O)C2,CC1CCC/C=C/C(=O)c2c(O)cc(O)cc2CC(=O)O1,drugs/CC1CCC_C=C_C(=O)c2c(O)cc(O)cc2CC(=O)O1.pickle,drugs,canonical
840,Cc1c[nH]c2ccccc12,Cc1c[nH]c2ccccc12,drugs/Cc1c[nH]c2ccccc12.pickle,drugs,canonical
852,O=C(/C=C/c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,O=C(/C=C/c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,drugs/O=C(_C=C_c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O.pickle,drugs,canonical
855,[H]N1CCCC1,C1CCNC1,drugs/C1CCNC1.pickle,drugs,canonical
863,C#CCCCC(=O)OC,C#CCCCC(=O)OC,qm9/C#CCCCC(=O)OC.pickle,qm9,canonical
867,CC(=O)CC(C)(C)C,CC(=O)CC(C)(C)C,qm9/CC(=O)CC(C)(C)C.pickle,qm9,canonical
871,CC(=O)CC(C)(C)O,CC(=O)CC(C)(C)O,qm9/CC(=O)CC(C)(C)O.pickle,qm9,canonical
873,CC(=O)C(C)(C)O,CC(=O)C(C)(C)O,qm9/CC(=O)C(C)(C)O.pickle,qm9,canonical
903,[H]OCCCC(C)C,CC(C)CCCO,qm9/CC(C)CCCO.pickle,qm9,canonical
915,CC(C)[C@@H]1CC[C@@H](C)CC1=O,CC1CCC(C(C)C)C(=O)C1,drugs/CC1CCC(C(C)C)C(=O)C1.pickle,drugs,no_stereo
933,C#CC(=O)N1CCCC1,C#CC(=O)N1CCCC1,qm9/C#CC(=O)N1CCCC1.pickle,qm9,canonical
947,[H]C#CCC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],C#CCC1CCCCC1,qm9/C#CCC1CCCCC1.pickle,qm9,canonical
979,[H]n1c(C(=O)OCC)cc2cc(OC)ccc21,CCOC(=O)c1cc2cc(OC)ccc2[nH]1,drugs/CCOC(=O)c1cc2cc(OC)ccc2[nH]1.pickle,drugs,canonical
991,[H]C#CC(C)(CC)O[H],C#CC(C)(O)CC,drugs/C#CC(C)(O)CC.pickle,drugs,canonical
