nmr_graph_idx,nmr_smiles,geom_smiles,geom_original_smiles,similarity,source
40,CC1(C)[C@@H](O)CC[C@]2(C)C3CC=C4C5C[C@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0.7735849056603774,drugs
40,CC1(C)[C@@H](O)CC[C@]2(C)C3CC=C4C5C[C@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,CC1(C)[C@@H](O)CC[C@]2(C)C3C(O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]4(C)[C@]3(C)CC[C@@H]12,CC1(C)[C@@H](O)CC[C@]2(C)C3C(O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]4(C)[C@]3(C)CC[C@@H]12,0.711864406779661,drugs
40,CC1(C)[C@@H](O)CC[C@]2(C)C3CC=C4C5C[C@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0.7068965517241379,drugs
41,O=C1CCC(C(=O)O)O1,CC(=O)[C@H]1CCC(=O)O1,CC(=O)[C@H]1CCC(=O)O1,0.6538461538461539,qm9
41,O=C1CCC(C(=O)O)O1,NC(=O)[C@H]1CCC(=O)O1,NC(=O)[C@H]1CCC(=O)O1,0.6538461538461539,qm9
54,COc1cc2c(cc1O)CC1NCCc3cc(O)c(OC)c-2c31,COc1cc2c(cc1O)C[C@H]1NCCc3cc4c(c-2c31)OCO4,COc1cc2c(cc1O)C[C@H]1NCCc3cc4c(c-2c31)OCO4,0.6851851851851852,drugs
54,COc1cc2c(cc1O)CC1NCCc3cc(O)c(OC)c-2c31,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,0.6153846153846154,drugs
54,COc1cc2c(cc1O)CC1NCCc3cc(O)c(OC)c-2c31,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,0.6153846153846154,drugs
64,C=C(C)C(=O)O[C@@H]1CC(C)=C2C(=O)C=C(C)[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]21,C=C(C)C(=O)O[C@H]1C/C(C)=C\C(=O)/C=C(\C)[C@H](O)[C@@H]2OC(=O)C(=C)[C@@H]21,C=C(C)C(=O)O[C@H]1C/C(C)=C\C(=O)/C=C(\C)[C@H](O)[C@@H]2OC(=O)C(=C)[C@H]12,0.6,drugs
75,COc1cc(C(=O)O[C@@H]2CC(C)=C[C@@H](O)[C@@]3(C)C(=O)C[C@@](O)(C(C)C)[C@H]23)ccc1O,COc1cc(C(=O)O[C@H]2CC(C)=CC[C@@]3(C)CC[C@@](O)(C(C)C)[C@H]23)ccc1O,COc1cc(C(=O)O[C@H]2CC(C)=CC[C@@]3(C)CC[C@@](O)(C(C)C)[C@H]23)ccc1O,0.6142857142857143,drugs
90,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,0.8103448275862069,drugs
90,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,0.8103448275862069,drugs
90,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C,0.6666666666666666,drugs
95,C=C1[C@@H](C)C2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/CC(O)CC[C@@H](C)C/C=C/C3[C@@H]1O,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,0.7916666666666666,drugs
95,C=C1[C@@H](C)C2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/CC(O)CC[C@@H](C)C/C=C/C3[C@@H]1O,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C\[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C\[C@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,0.7916666666666666,drugs
95,C=C1[C@@H](C)C2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/CC(O)CC[C@@H](C)C/C=C/C3[C@@H]1O,C=C1[C@@H](C)C2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)CC[C@H](O)CCC[C@H](C)C/C=C/[C@H]3[C@@H]1O,C=C1[C@@H](C)C2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)CC[C@H](O)CCC[C@H](C)C/C=C/[C@H]3[C@@H]1O,0.72,drugs
97,C=Cc1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4C(=O)OC)[C@@H](CCC(=O)O)[C@@H]3C,C=Cc1c(C)c2cc3nc(c(CC(=O)O)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)O)C(CCC(=O)O)C3C,C=Cc1c(C)c2cc3nc(c(CC(=O)O)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)O)C(CCC(=O)O)C3C,0.6511627906976745,drugs
103,N#C[C@H](OC1OC(COC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O)c1ccccc1,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,0.6,drugs
103,N#C[C@H](OC1OC(COC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O)c1ccccc1,N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,0.6,drugs
111,O=C(/C=C/C=C\c1ccc2c(c1)OCO2)N1CCCC1,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,0.9743589743589743,drugs
111,O=C(/C=C/C=C\c1ccc2c(c1)OCO2)N1CCCC1,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,0.9743589743589743,drugs
111,O=C(/C=C/C=C\c1ccc2c(c1)OCO2)N1CCCC1,O=C(/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,O=C(/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,0.8048780487804879,drugs
118,Cc1cc2cccc(C)c2cc1OC1OC(CO)C(O)C(O)C1O,OCC1OC(Oc2cccc3ccccc23)C(O)C(O)C1O,OCC1OC(Oc2cccc3ccccc23)C(O)C(O)C1O,0.6170212765957447,drugs
119,CC(C)=CCC1=C(O)C(=O)c2c(O)ccc(O)c2C1=O,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,0.6111111111111112,drugs
121,COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC2OC(CO)C(O)C(O)C2O)c1,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,0.8333333333333334,drugs
121,COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC2OC(CO)C(O)C(O)C2O)c1,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,0.8333333333333334,drugs
121,COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC2OC(CO)C(O)C(O)C2O)c1,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.8333333333333334,drugs
137,COc1c(OS(=O)(=O)[O-])cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c1O,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,0.6923076923076923,drugs
137,COc1c(OS(=O)(=O)[O-])cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c1O,COc1ccc(-c2oc3cc(OC)c(O)c(OC)c3c(=O)c2OC)cc1O,COc1ccc(-c2oc3cc(OC)c(O)c(OC)c3c(=O)c2OC)cc1O,0.6,drugs
146,CC1=CCC[C@@H]2[C@@](C)(CC/C(C)=C/C(=O)O)[C@@H](C)CC[C@@]12C,CC1=CCC[C@@H]2[C@@](C)(CC/C(C)=C/C(=O)O)[C@H](C)CC[C@@]12C,CC1=CCC[C@@H]2[C@@](C)(CC/C(C)=C/C(=O)O)[C@H](C)CC[C@@]12C,1.0,drugs
160,C=C1[C@H](O)[C@@H](O)[C@@H]2C(C)(C)[C@@H](OC(C)=O)CC[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,CC(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,CC(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,0.6216216216216216,drugs
161,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc3c(c2)OCO3)cc2c1OCO2,COc1ccc([C@@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc3c(c2)OCO3)cc1OC,COc1ccc([C@@H]2OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@H]23)cc1OC,0.7906976744186046,drugs
161,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc3c(c2)OCO3)cc2c1OCO2,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,c1cc2c(cc1[C@H]1OC[C@@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@H]13)OCO2,0.675,drugs
161,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc3c(c2)OCO3)cc2c1OCO2,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@H]3c1ccc3c(c1)OCO3)OCO2,c1cc2c(cc1[C@H]1OC[C@@H]3[C@H](c4ccc5c(c4)OCO5)OC[C@H]13)OCO2,0.675,drugs
193,COc1c(O)cc2oc3ccc(O)c(OC)c3c(=O)c2c1O,COc1cc(O)c2c(=O)c3c(OC)c(O)ccc3oc2c1,COc1cc(O)c2c(=O)c3c(OC)c(O)ccc3oc2c1,0.6829268292682927,drugs
196,C/C=C(\C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)[C@H](O)[C@H](C)[C@@H]1C,C/C=C(/C)C(=O)O[C@@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)C[C@H](C)[C@]1(C)O,C/C=C(/C)C(=O)O[C@@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)C[C@H](C)[C@]1(C)O,0.6197183098591549,drugs
202,C[C@@H](/C=C/[C@@]1(O)C(CO)=CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O,CC(/C=C/C1(O)C(C)CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O,CC(/C=C/C1(O)C(C)CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O,0.6,drugs
212,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.76,drugs
212,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,0.7358490566037735,drugs
212,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12,C[C@]12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,C[C@]12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,0.7358490566037735,drugs
215,Oc1ccc([C@H]2Oc3cc(O)c(Cl)c(O)c3C[C@@H]2O)cc1O,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0.6976744186046512,drugs
215,Oc1ccc([C@H]2Oc3cc(O)c(Cl)c(O)c3C[C@@H]2O)cc1O,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,0.6976744186046512,drugs
215,Oc1ccc([C@H]2Oc3cc(O)c(Cl)c(O)c3C[C@@H]2O)cc1O,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,0.6976744186046512,drugs
243,CC1=C/CC(/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)C\C=C\1,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,0.7361111111111112,drugs
243,CC1=C/CC(/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)C\C=C\1,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,0.6666666666666666,drugs
243,CC1=C/CC(/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)C\C=C\1,C/C(=C\c1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)O1,C/C(=C\c1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@H](O)CC(=O)O1,0.6493506493506493,drugs
246,C[C@H]1COc2c1cc1c(c2O)[C@@]23CCCC(C)(C)C2CC1OC3=O,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)C1CC2OC3=O,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)C1CC2OC3=O,0.6607142857142857,drugs
261,CCN1C[C@@]2(COC)C3[C@@H](OC)[C@H]4C1[C@@]3(C1C[C@@]3(O)[C@H](OC(=O)c5ccccc5)C1[C@]4(OC(C)=O)[C@@H](O)[C@@H]3OC)[C@@H](OC)C[C@H]2O,COCC12CN(C=O)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,COCC12CN(C=O)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1,0.8333333333333334,drugs
284,COC1=C(N)C(=O)c2nc(-c3[nH+]c(C(=O)[O-])c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,COC(=O)c1nc(-c2ccc3c(n2)C(=O)C(N)=C(OC)C3=O)c(N)c(-c2ccc(OC)c(OC)c2O)c1C,COC(=O)c1nc(-c2ccc3c(n2)C(=O)C(N)=C(OC)C3=O)c(N)c(-c2ccc(OC)c(OC)c2O)c1C,0.6956521739130435,drugs
284,COC1=C(N)C(=O)c2nc(-c3[nH+]c(C(=O)[O-])c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,0.6714285714285714,drugs
285,CC1C(O)CC2CC1C2(C)C,CC1(C)[C@H]2C[C@@H]1[C@@H](O)C2,CC1(C)[C@@H]2C[C@H](O)[C@H]1C2,0.6956521739130435,qm9
287,CC1=CCC2CC1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C,1.0,drugs
295,CCC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,CC(=O)O[C@@H]1[C@H](OC(=O)CC(C)C)c2c(ccc3ccc(=O)oc23)OC1(C)C,CC(=O)O[C@@H]1[C@H](OC(=O)CC(C)C)c2c(ccc3ccc(=O)oc23)OC1(C)C,0.7962962962962963,drugs
295,CCC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,0.7407407407407407,drugs
295,CCC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,C/C=C(\C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,C/C=C(\C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(C)=O,0.7407407407407407,drugs
304,COc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,0.7575757575757576,drugs
304,COc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0.6363636363636364,drugs
313,C=CC(C)(O)CC[C@@H]1C(=C)CCC2C(C)(C)CCC[C@@]21C,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,0.6078431372549019,drugs
313,C=CC(C)(O)CC[C@@H]1C(=C)CCC2C(C)(C)CCC[C@@]21C,C=CC(C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O,C=CC(C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O,0.6078431372549019,drugs
313,C=CC(C)(O)CC[C@@H]1C(=C)CCC2C(C)(C)CCC[C@@]21C,C=C[C@@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,C=C[C@@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,0.6078431372549019,drugs
